name,values,variacion
dic.1999,54.64,
ene.2000,54.68,0.03999999999999915
feb.2000,54.94,0.259999999999998
mar.2000,55.24,0.30000000000000426
abr.2000,55.52,0.28000000000000114
may.2000,55.53,0.00999999999999801
jun.2000,55.56,0.030000000000001137
jul.2000,55.85,0.28999999999999915
ago.2000,56.11,0.259999999999998
sep.2000,56.43,0.3200000000000003
oct.2000,56.56,0.13000000000000256
nov.2000,56.59,0.030000000000001137
dic.2000,56.68,0.0899999999999963
ene.2001,56.79,0.10999999999999943
feb.2001,56.93,0.14000000000000057
mar.2001,57.21,0.28000000000000114
abr.2001,56.98,-0.23000000000000398
may.2001,56.99,0.010000000000005116
jun.2001,56.96,-0.030000000000001137
jul.2001,57.06,0.10000000000000142
ago.2001,56.88,-0.17999999999999972
sep.2001,56.92,0.03999999999999915
oct.2001,56.94,0.01999999999999602
nov.2001,56.66,-0.28000000000000114
dic.2001,56.61,-0.04999999999999716
ene.2002,56.31,-0.29999999999999716
feb.2002,56.29,-0.020000000000003126
mar.2002,56.59,0.30000000000000426
abr.2002,57.01,0.4199999999999946
may.2002,57.09,0.0800000000000054
jun.2002,56.96,-0.13000000000000256
jul.2002,56.98,0.01999999999999602
ago.2002,57.03,0.05000000000000426
sep.2002,57.3,0.269999999999996
oct.2002,57.71,0.4100000000000037
nov.2002,57.48,-0.23000000000000398
dic.2002,57.47,-0.00999999999999801
ene.2003,57.6,0.13000000000000256
feb.2003,57.87,0.269999999999996
mar.2003,58.52,0.6500000000000057
abr.2003,58.49,-0.030000000000001137
may.2003,58.47,-0.020000000000003126
jun.2003,58.19,-0.28000000000000114
jul.2003,58.1,-0.0899999999999963
ago.2003,58.11,0.00999999999999801
sep.2003,58.44,0.3299999999999983
oct.2003,58.46,0.020000000000003126
nov.2003,58.56,0.10000000000000142
dic.2003,58.89,0.3299999999999983
ene.2004,59.21,0.3200000000000003
feb.2004,59.85,0.6400000000000006
mar.2004,60.13,0.28000000000000114
abr.2004,60.11,-0.020000000000003126
may.2004,60.33,0.21999999999999886
jun.2004,60.67,0.3400000000000034
jul.2004,60.78,0.10999999999999943
ago.2004,60.78,0.0
sep.2004,60.79,0.00999999999999801
oct.2004,60.77,-0.01999999999999602
nov.2004,60.95,0.17999999999999972
dic.2004,60.94,-0.010000000000005116
ene.2005,61.0,0.060000000000002274
feb.2005,60.86,-0.14000000000000057
mar.2005,61.26,0.3999999999999986
abr.2005,61.33,0.07000000000000028
may.2005,61.41,0.0799999999999983
jun.2005,61.57,0.1600000000000037
jul.2005,61.63,0.060000000000002274
ago.2005,61.52,-0.10999999999999943
sep.2005,61.46,-0.060000000000002274
oct.2005,61.55,0.0899999999999963
nov.2005,61.6,0.05000000000000426
dic.2005,61.85,0.25
ene.2006,62.16,0.30999999999999517
feb.2006,62.5,0.3400000000000034
mar.2006,62.79,0.28999999999999915
abr.2006,63.11,0.3200000000000003
may.2006,62.78,-0.3299999999999983
jun.2006,62.69,-0.09000000000000341
jul.2006,62.59,-0.09999999999999432
ago.2006,62.67,0.0799999999999983
sep.2006,62.69,0.01999999999999602
oct.2006,62.72,0.030000000000001137
nov.2006,62.54,-0.17999999999999972
dic.2006,62.56,0.020000000000003126
ene.2007,62.56,0.0
feb.2007,62.73,0.1699999999999946
mar.2007,62.94,0.21000000000000085
abr.2007,63.06,0.12000000000000455
may.2007,63.37,0.30999999999999517
jun.2007,63.66,0.28999999999999915
jul.2007,63.97,0.3100000000000023
ago.2007,64.05,0.0799999999999983
sep.2007,64.45,0.4000000000000057
oct.2007,64.65,0.20000000000000284
nov.2007,64.72,0.06999999999999318
dic.2007,65.01,0.29000000000000625
ene.2008,65.16,0.14999999999999147
feb.2008,65.75,0.5900000000000034
mar.2008,66.43,0.6800000000000068
abr.2008,66.54,0.10999999999999943
may.2008,66.78,0.23999999999999488
jun.2008,67.3,0.519999999999996
jul.2008,67.67,0.37000000000000455
ago.2008,68.07,0.3999999999999915
sep.2008,68.46,0.39000000000000057
oct.2008,68.88,0.4200000000000017
nov.2008,69.09,0.21000000000000796
dic.2008,69.34,0.25
ene.2009,69.41,0.06999999999999318
feb.2009,69.36,-0.04999999999999716
mar.2009,69.61,0.25
abr.2009,69.62,0.010000000000005116
may.2009,69.59,-0.030000000000001137
jun.2009,69.36,-0.23000000000000398
jul.2009,69.49,0.12999999999999545
ago.2009,69.34,-0.14999999999999147
sep.2009,69.28,-0.060000000000002274
oct.2009,69.37,0.09000000000000341
nov.2009,69.29,-0.0799999999999983
dic.2009,69.51,0.21999999999999886
ene.2010,69.71,0.19999999999998863
feb.2010,69.94,0.23000000000000398
mar.2010,70.13,0.18999999999999773
abr.2010,70.15,0.020000000000010232
may.2010,70.32,0.1699999999999875
jun.2010,70.5,0.18000000000000682
jul.2010,70.75,0.25
ago.2010,70.94,0.18999999999999773
sep.2010,70.92,-0.01999999999999602
oct.2010,70.82,-0.10000000000000853
nov.2010,70.82,0.0
dic.2010,70.95,0.13000000000000966
ene.2011,71.23,0.28000000000000114
feb.2011,71.5,0.269999999999996
mar.2011,72.0,0.5
abr.2011,72.49,0.4899999999999949
may.2011,72.48,-0.009999999999990905
jun.2011,72.55,0.06999999999999318
jul.2011,73.12,0.5700000000000074
ago.2011,73.32,0.19999999999998863
sep.2011,73.56,0.2400000000000091
oct.2011,73.79,0.23000000000000398
nov.2011,74.11,0.3199999999999932
dic.2011,74.31,0.20000000000000284
ene.2012,74.24,-0.07000000000000739
feb.2012,74.48,0.2400000000000091
mar.2012,75.05,0.5699999999999932
abr.2012,75.45,0.4000000000000057
may.2012,75.48,0.030000000000001137
jun.2012,75.45,-0.030000000000001137
jul.2012,75.52,0.06999999999999318
ago.2012,75.9,0.38000000000000966
sep.2012,76.31,0.4099999999999966
oct.2012,76.19,-0.12000000000000455
nov.2012,76.09,-0.09999999999999432
dic.2012,76.28,0.18999999999999773
ene.2013,76.37,0.09000000000000341
feb.2013,76.3,-0.07000000000000739
mar.2013,76.99,0.6899999999999977
abr.2013,77.19,0.20000000000000284
may.2013,77.34,0.15000000000000568
jun.2013,77.54,0.20000000000000284
jul.2013,77.97,0.4299999999999926
ago.2013,78.39,0.4200000000000017
sep.2013,78.47,0.0799999999999983
oct.2013,78.5,0.030000000000001137
nov.2013,78.33,-0.1700000000000017
dic.2013,78.46,0.12999999999999545
ene.2014,78.71,0.25
feb.2014,79.19,0.480000000000004
mar.2014,79.6,0.4099999999999966
abr.2014,79.91,0.3100000000000023
may.2014,80.09,0.18000000000000682
jun.2014,80.22,0.12999999999999545
jul.2014,80.56,0.3400000000000034
ago.2014,80.49,-0.07000000000000739
sep.2014,80.62,0.13000000000000966
oct.2014,80.93,0.3100000000000023
nov.2014,80.81,-0.12000000000000455
dic.2014,80.99,0.1799999999999926
ene.2015,81.13,0.14000000000000057
feb.2015,81.38,0.25
mar.2015,82.0,0.6200000000000045
abr.2015,82.32,0.3199999999999932
may.2015,82.78,0.46000000000000796
jun.2015,83.06,0.28000000000000114
jul.2015,83.43,0.37000000000000455
ago.2015,83.75,0.3199999999999932
sep.2015,83.77,0.01999999999999602
oct.2015,83.89,0.12000000000000455
nov.2015,84.18,0.29000000000000625
dic.2015,84.56,0.37999999999999545
ene.2016,84.87,0.3100000000000023
feb.2016,85.02,0.14999999999999147
mar.2016,85.53,0.5100000000000051
abr.2016,85.54,0.010000000000005116
may.2016,85.72,0.1799999999999926
jun.2016,85.84,0.12000000000000455
jul.2016,85.91,0.06999999999999318
ago.2016,86.21,0.29999999999999716
sep.2016,86.39,0.18000000000000682
oct.2016,86.75,0.35999999999999943
nov.2016,87.0,0.25
dic.2016,87.29,0.29000000000000625
ene.2017,87.5,0.20999999999999375
feb.2017,87.78,0.28000000000000114
mar.2017,88.93,1.1500000000000057
abr.2017,88.7,-0.23000000000000398
may.2017,88.32,-0.38000000000000966
jun.2017,88.18,-0.13999999999998636
jul.2017,88.36,0.1799999999999926
ago.2017,88.95,0.5900000000000034
sep.2017,88.94,-0.010000000000005116
oct.2017,88.52,-0.4200000000000017
nov.2017,88.34,-0.1799999999999926
dic.2017,88.48,0.14000000000000057
ene.2018,88.59,0.10999999999999943
feb.2018,88.82,0.22999999999998977
mar.2018,89.25,0.4300000000000068
abr.2018,89.13,-0.12000000000000455
may.2018,89.14,0.010000000000005116
jun.2018,89.44,0.29999999999999716
jul.2018,89.78,0.3400000000000034
ago.2018,89.9,0.12000000000000455
sep.2018,90.07,0.1699999999999875
oct.2018,90.15,0.0800000000000125
nov.2018,90.26,0.10999999999999943
dic.2018,90.42,0.1599999999999966
ene.2019,90.48,0.060000000000002274
feb.2019,90.6,0.11999999999999034
mar.2019,91.25,0.6500000000000057
abr.2019,91.44,0.18999999999999773
may.2019,91.57,0.12999999999999545
jun.2019,91.49,-0.0799999999999983
jul.2019,91.68,0.19000000000001194
ago.2019,91.74,0.05999999999998806
sep.2019,91.74,0.0
oct.2019,91.84,0.10000000000000853
nov.2019,91.94,0.09999999999999432
dic.2019,92.14,0.20000000000000284
ene.2020,92.19,0.04999999999999716
feb.2020,92.32,0.12999999999999545
mar.2020,92.92,0.6000000000000085
abr.2020,93.01,0.09000000000000341
may.2020,93.2,0.18999999999999773
jun.2020,92.96,-0.2400000000000091
jul.2020,93.39,0.4300000000000068
ago.2020,93.28,-0.10999999999999943
sep.2020,93.41,0.12999999999999545
oct.2020,93.43,0.020000000000010232
nov.2020,93.91,0.47999999999998977
dic.2020,93.96,0.04999999999999716
ene.2021,94.66,0.7000000000000028
feb.2021,94.54,-0.11999999999999034
mar.2021,95.33,0.789999999999992
abr.2021,95.23,-0.09999999999999432
may.2021,95.49,0.2599999999999909
jun.2021,95.98,0.4900000000000091
jul.2021,96.95,0.9699999999999989
ago.2021,97.9,0.9500000000000028
sep.2021,98.3,0.3999999999999915
oct.2021,98.87,0.5700000000000074
nov.2021,99.22,0.3499999999999943
dic.2021,100.0,0.7800000000000011
ene.2022,100.04,0.04000000000000625
feb.2022,100.35,0.30999999999998806
mar.2022,101.84,1.490000000000009
abr.2022,102.82,0.9799999999999898
may.2022,103.21,0.39000000000000057
jun.2022,104.44,1.230000000000004
jul.2022,105.42,0.980000000000004
ago.2022,106.13,0.7099999999999937
sep.2022,106.68,0.5500000000000114
oct.2022,107.05,0.36999999999999034
nov.2022,107.6,0.5499999999999972
dic.2022,108.46,0.8599999999999994
ene.2023,108.7,0.2400000000000091
feb.2023,109.02,0.3199999999999932
mar.2023,110.39,1.3700000000000045
abr.2023,111.01,0.6200000000000045
may.2023,111.36,0.3499999999999943
jun.2023,111.19,-0.1700000000000017
jul.2023,111.62,0.4300000000000068
ago.2023,112.04,0.4200000000000017
sep.2023,112.06,0.01999999999999602
oct.2023,111.7,-0.35999999999999943
nov.2023,111.52,-0.18000000000000682
